,customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
2413,065e274ca8c7214e70710b6765578a05,54,1,26.0,5,5,5,555
2439,06749557ec7c0ecb61210bbc6c14ae1d,48,1,31.0,5,5,5,555
2443,0675dc11f2e7dc8ab2f0525b1dd57859,111,1,19.9,5,5,5,555
2446,0677048b122422b313b96967d64e8cb6,64,1,32.99,5,5,5,555
2484,068a6193792ce340374afefa699e8880,55,1,23.9,5,5,5,555
2558,06c4359f159d982902fe93e79c1323df,69,1,14.0,5,5,5,555
2560,06c5c4b0292effa4b19173210ffafb33,98,1,14.5,5,5,5,555
2572,06d198a416dd7728c452636fd04633a6,73,1,29.97,5,5,5,555
2574,06d2794bd8c6d90db6889d6c5f2d83ea,110,1,30.9,5,5,5,555
2636,06fe2378b02bcfcf4d6fcc4b31fde6c5,74,1,29.99,5,5,5,555
2650,070ce039abd117187ecf70994220c6d2,113,1,29.9,5,5,5,555
2656,0710c8034f2e3c5e0f0a2d1811dfddcc,109,1,39.9,5,5,5,555
2748,0750772d41a8b042cde18f59e30522b5,118,1,27.99,5,5,5,555
2754,0754629085f41398924535f8b337a630,125,1,39.5,5,5,5,555
2809,077177a6fe3f9adcdd96ea9c4aa0d524,94,1,16.5,5,5,5,555
2817,0776b4f6e66409776cd39bf2ad45702e,70,1,33.0,5,5,5,555
2827,077e58337411253659e060d903cec280,57,1,20.49,5,5,5,555
2895,07bac215ce13a0aa6640cc2ea7411c20,105,1,29.99,5,5,5,555
2951,07e1c3725f2f8d2e91fdb691f0b3152d,49,1,19.15,5,5,5,555
2981,07f530400b2eb436da476957706cd9be,85,1,35.0,5,5,5,555
2987,07f96b6867d9a170014744b286362436,64,1,12.9,5,5,5,555
3014,0809899bfc84b0bc917a8c279c5dbb5b,85,1,24.9,5,5,5,555
3016,080b34eea368ba7775448a556def373b,64,1,24.0,5,5,5,555
3045,081ecee4228a97b36aa3b2cbd1bbc1ba,68,1,34.0,5,5,5,555
3061,082ad395df0ed72a64f71b70fffafd5b,113,1,34.9,5,5,5,555
3073,08324ca9a349f4d9f8323b1c9e1399f8,71,1,36.0,5,5,5,555
3085,083de6cf2da0a625906af6a558106b28,106,1,19.0,5,5,5,555
3100,0843fd3baa42b70bf995bb83753bfe90,63,1,22.32,5,5,5,555
3110,084c2bd2b64d5e52712259d7a2f0f79d,95,1,39.9,5,5,5,555
3141,08652ae7b7ac5fa6f707620671306ddc,57,1,30.0,5,5,5,555
3178,0881e1574aa6b621c551a421297af5b8,109,1,29.89,5,5,5,555
3182,088748a6b4f6a4042e04da23b9b0940c,62,1,32.0,5,5,5,555
3217,08a4aa30c0eea37598e0a8095910b491,118,1,24.89,5,5,5,555
3239,08b56a0a9c6eff4619a9a141b4dd37e2,50,1,33.0,5,5,5,555
3255,08c39e2aafb61665f838819f53a16657,74,1,32.9,5,5,5,555
3264,08caf5d1db0231d5afc079d3b223b16c,125,1,19.65,5,5,5,555
3271,08cfbfce32d6e30b94c84bbd630aafae,51,1,29.99,5,5,5,555
3286,08d7b1fe49c75e0ebc5758f55d41a580,127,1,19.95,5,5,5,555
3298,08e2e8f0d6a0264fb3a6da7b40dbf12d,104,1,22.32,5,5,5,555
3301,08e4e47999175e049a948f577df3b84a,74,1,26.4,5,5,5,555
3314,08e9e9af9d6d0393d4f6b8c331adc6e7,81,1,28.9,5,5,5,555
3358,08ffcc4f7f99c98cff3560ce1c502b8c,46,1,19.0,5,5,5,555
3387,09109390db732a0b45175f2da752f6ce,74,1,19.99,5,5,5,555
3416,09256eecda76e5ebd891970539e9746b,78,1,26.9,5,5,5,555
3426,0928de2429e186c48346ffaa5738cbe6,75,1,30.09,5,5,5,555
3449,093afa5e2f16785b06a54179fdc986c2,120,1,14.9,5,5,5,555
3515,096b8c4d4856603e88a3cdb921a92aa3,68,1,23.9,5,5,5,555
3516,096b92bb7b1f2df07782d584753022c3,69,1,22.6,5,5,5,555
3522,09714b907f40049ef6c7e0db105e5fa8,76,1,17.0,5,5,5,555
3530,09740ab7c2513db9cf9e691b9266d292,88,1,24.99,5,5,5,555
3574,09946d4f0a58f040f433d53139e2a2ae,76,1,32.66,5,5,5,555
3580,099786bcc7ebf2f323ecf03a9f54b02d,71,1,18.9,5,5,5,555
3584,099ad0974e8f18865f3c0aea78af8b56,50,1,37.99,5,5,5,555
3596,09a6d481d28965b838840b78bbabc13f,111,1,21.9,5,5,5,555
3638,09becaeb993ca4d7a5c0ea6eb2afce30,126,1,21.9,5,5,5,555
3642,09c5222856be1228af5bc3c2dd8842fe,88,1,39.9,5,5,5,555
3666,09d2b0f3a7f77a37f535a89bcb22bd31,130,2,18.0,5,5,5,555
3668,09d35a85e870a6f5425234574a0ae1c9,68,1,25.89,5,5,5,555
3683,09de89d73728d8ba98281f3b1a73e9aa,47,1,15.0,5,5,5,555
3684,09dfcfc2eb69eecaedfdb6855ca8301c,96,1,34.9,5,5,5,555
3744,0a061fbf0086ab5dc3be576189a0f2c8,53,1,32.0,5,5,5,555
3767,0a1320235af1a4ef421c222c1ef4bdd9,77,1,19.0,5,5,5,555
3768,0a133589395921bf74897e05ec96f1f0,74,1,37.99,5,5,5,555
3773,0a18445510505b0fbc67fefff8231df0,85,1,29.0,5,5,5,555
3787,0a215d233e87a33399e8defc4598588b,61,1,34.5,5,5,5,555
3835,0a44fa60c928c1db607ec5758d406560,83,1,38.0,5,5,5,555
3860,0a558d12e4f17bdc05e2a498747d0e07,62,1,39.0,5,5,5,555
3863,0a5711926203d47f8b6f18f5443bf868,61,1,24.99,5,5,5,555
3868,0a5e930da019167d37d29f85872c5f60,53,1,22.32,5,5,5,555
3871,0a60a71e2886cc3c0d92fb7618073020,102,1,34.99,5,5,5,555
3928,0a84514b054a38a558ad0874beebf6af,127,1,25.49,5,5,5,555
3977,0aa02628673fa6a77842ad2c978a2007,53,1,39.9,5,5,5,555
4004,0ab760a37d890cd1ebc3bf0d7d5f5ad4,82,1,29.9,5,5,5,555
4011,0abbad9859d57687867b8fbb2650a5ce,74,1,29.0,5,5,5,555
4025,0ac3d2e75de7f6c5c7db97c7ff7bda95,106,1,29.99,5,5,5,555
4035,0ac891fe3a0a4752f17f6003855f8779,110,1,24.99,5,5,5,555
4047,0ad37f50dbe78d9c1292f4ab3217dea5,124,1,28.9,5,5,5,555
4085,0ae950a7f903b379c53be854ff1dae04,107,2,14.0,5,5,5,555
4111,0b000057ede436dbb104e5378e0b8888,97,1,39.9,5,5,5,555
4132,0b0e95b0351bae7addd465ea17e4e4d9,112,1,24.9,5,5,5,555
4143,0b169717fec8c12a53790ce862ee480c,64,1,19.83,5,5,5,555
4190,0b3495408fdeebce89762ce64a9ae7f6,78,1,14.49,5,5,5,555
4254,0b67df0f3cd35096e2b545e0c11d7422,122,1,29.0,5,5,5,555
4256,0b686b6cc50a4a516f7c2621e8d35287,64,1,29.9,5,5,5,555
4325,0b8f6ef5f2557dbf574cd499f975164e,57,1,24.99,5,5,5,555
4346,0b9d5b8ca1d0aee387d35522fcf8785c,74,1,27.9,5,5,5,555
4351,0b9f46b80e07d06f5a0d1135de59b31f,123,1,25.0,5,5,5,555
4387,0bbae5720eecc2f859556a5bbc43466b,97,1,27.99,5,5,5,555
4473,0bfb2278d83ff358645a588158d39b8f,110,1,21.99,5,5,5,555
4480,0bfdd26f029a368b463a48a56b65f560,82,1,26.9,5,5,5,555
4580,0c409eadf7461d9e02860a7015a3f52b,119,1,21.89,5,5,5,555
4583,0c41d3676a3676b647ac6a973f61badc,97,1,24.99,5,5,5,555
4610,0c5324c087cd266c3d99b0f1849bb8ef,73,1,29.0,5,5,5,555
4620,0c5c8c5d9a4416010c6174ee6d8c59cb,50,1,39.0,5,5,5,555
4651,0c70d21dbd94ee2062ab588e53a9cfd9,101,1,34.0,5,5,5,555
4669,0c7ba0b11923d9c8bad61bfdcd6b3b2b,61,1,12.99,5,5,5,555
4712,0c958e86e19ad0bba6f1507ac50e764d,113,1,35.0,5,5,5,555
4714,0c95f1404cdef95cb34818ac3c9bf02e,50,1,14.49,5,5,5,555
4736,0ca219acb9356eced4c5c3140f88f96b,72,1,27.9,5,5,5,555
4773,0cc57b6063fc8fc10e6fbc1abd93991b,95,1,26.0,5,5,5,555
4800,0cda9d1432384b83ab1be4549c311e28,102,1,34.99,5,5,5,555
4874,0d11768f8cd705b25a798904dbf01693,124,1,29.3,5,5,5,555
4901,0d1ee76cb9ade0437e79b7d5e081f70d,68,1,18.9,5,5,5,555
4924,0d30ce0128ab8a11c943446395ae13c8,119,1,29.99,5,5,5,555
4928,0d33a9b58b18573efd07ed7ee3c18405,95,1,25.9,5,5,5,555
4979,0d55393eac5360eec19095b10b1fab90,111,1,14.99,5,5,5,555
4984,0d573cb6681904906ea6b9ea47662c99,68,1,27.99,5,5,5,555
5045,0d878c03ad06e377222d2130fba9dde1,117,1,19.0,5,5,5,555
5052,0d8bfa786b498c6b7fc432785bcf36fa,98,1,39.89,5,5,5,555
5097,0da38d38529e170d768aa55382969f6e,111,1,24.99,5,5,5,555
5101,0da50145f2aa453ea896ec9ca062f387,96,1,19.99,5,5,5,555
5166,0dd5a932b1e29daa12845dbf696cbb54,130,1,28.9,5,5,5,555
5188,0deb774b69e542a71ef7dca0d4f3d050,47,1,29.9,5,5,5,555
5192,0ded51e019af537d7cec98cbdfef87f5,88,1,34.0,5,5,5,555
5210,0df8e68bdf469717f79bf1e89a7450e4,53,1,29.99,5,5,5,555
5232,0e08577fae71d5176b620f7702a49ef7,50,1,25.2,5,5,5,555
5236,0e0af490d67b53659df4023f40355891,49,1,25.5,5,5,5,555
5261,0e222df71329466b86b2351431a67fe0,94,1,28.9,5,5,5,555
5279,0e2f340f632d6786b3652a3e4c175c56,50,1,16.9,5,5,5,555
5282,0e313e105cc8db5c511515cabd78c38b,105,1,18.9,5,5,5,555
5296,0e3831c91b42710f9ac7aa1f0e4831f9,55,1,18.95,5,5,5,555
5303,0e3c876cbe9a1d90dda647b150f51441,111,1,14.49,5,5,5,555
5331,0e4e3ed44acc06bd424d47ab79993516,57,1,29.9,5,5,5,555
5333,0e4fa8b8944e91310593b9a84c7201ec,120,1,15.5,5,5,5,555
5338,0e547cffbbc6b5b7c0fcf80f67f41773,56,1,31.9,5,5,5,555
5339,0e56c2f71e978cffbb3e9093b9d2617c,50,1,36.82,5,5,5,555
5439,0e96da78f43bec2f07c7971bb4d47a52,55,1,34.9,5,5,5,555
5443,0e9a1a195d9e737e602ffc9cfe19053a,71,1,15.99,5,5,5,555
5511,0eccbe00ed4a0a2dc61fcf5a3a37d8a0,77,1,39.0,5,5,5,555
5543,0ee2a7b14cf16326830092602fd73cc8,84,1,29.99,5,5,5,555
5571,0ef45835a657c44b852360596e689cba,127,1,34.0,5,5,5,555
5582,0efc1f5e8675901683fae0ea8fdf3feb,119,1,35.0,5,5,5,555
5612,0f0c730c073bc0f1f9cbb6cda2ccb664,47,1,12.99,5,5,5,555
5642,0f27adc68b946466a1670bb2e30a2c7c,56,1,29.0,5,5,5,555
5707,0f4e6706036eec942d3b94d1d00ba58f,84,1,27.3,5,5,5,555
5715,0f5309e6132dcfde05ef70e36f6bc24d,81,1,14.99,5,5,5,555
5737,0f657c8b0636781290d265e0bdacfbe5,67,1,39.9,5,5,5,555
5801,0f8ddd1dabae868a29579688d8f9ec6d,111,1,35.0,5,5,5,555
5821,0f9de5340f8ca84a67a3fc4e971965cb,96,1,24.99,5,5,5,555
5829,0fa5382628eea6bbb19fde8b076dfdfb,50,1,22.32,5,5,5,555
5849,0fb2c6fb8cd166fd37f894932d1b744d,64,1,16.9,5,5,5,555
5857,0fb56b1a2ceaf968adbf6fa86bf080db,64,1,13.99,5,5,5,555
5867,0fba7e91e927412505af523e126dc637,74,1,32.0,5,5,5,555
5876,0fbe0a693526f98c8d703e94def41c78,64,1,33.9,5,5,5,555
5904,0fcccf66f19e899aaaeac881f43c012d,97,1,17.9,5,5,5,555
5935,0fe123899f3b5e1552eb5dea4d9d2283,50,1,34.0,5,5,5,555
5936,0fe3d243c3ea2f71639a95f24c2fbcdb,83,1,19.9,5,5,5,555
5937,0fe5a52d97e7498989f1c52b4abda1f5,54,1,38.79,5,5,5,555
5989,10068578ee713a44662a603d6f9e3e65,76,1,19.99,5,5,5,555
5990,1006e6c8479e95cef7612414cf33059f,57,1,22.32,5,5,5,555
5994,100a8d4dd80b65dc63ffb17fdd39ba28,102,1,39.0,5,5,5,555
6022,10242429481cedab70f61a45e1a9fb88,125,1,24.9,5,5,5,555
6034,102e94eaf801d934fefd9861fd6e1ede,92,1,14.8,5,5,5,555
6051,103835507c129aa7ef38bda11d7863e6,120,1,19.8,5,5,5,555
6074,1049fdab788b0c4ecc56ccf1b7931657,126,1,38.9,5,5,5,555
6204,10a0d23b8974fb07465487377785ef2b,79,1,35.0,5,5,5,555
6205,10a0f629db265627fe8db34cea5b118f,74,1,24.97,5,5,5,555
6212,10a3aace97d84274d63b3cf7af70449c,68,1,37.99,5,5,5,555
6216,10a61fa7ba3ccbaf8b3fc8e49f763ddf,54,1,29.9,5,5,5,555
6218,10a79ef2783cae3d8d678e85fde235ac,47,1,6.9,5,5,5,555
6237,10b0bfb19ed6f0aa3d895cc1db350e3a,59,1,18.9,5,5,5,555
6240,10b22fca096d0e9f49aba0051cfbdaf2,49,1,9.99,5,5,5,555
6251,10ba1547c5701a2efe4ef818993edc47,117,1,29.9,5,5,5,555
6258,10bc635dd02be0adfee347a616414b23,126,1,9.0,5,5,5,555
6284,10cb32f6df39982b4a0205a5c7bfd8d0,60,1,8.9,5,5,5,555
6351,10fa88a7b6a80c8361f3d4d83b6d384c,53,1,22.99,5,5,5,555
6364,11022f3b7869a59e9f21e745f89f6a52,120,1,39.0,5,5,5,555
6407,111e0d71d0351fbdac5b47d607747bec,71,1,29.0,5,5,5,555
6422,1128a133c281106fc866773b4a79888c,104,1,30.0,5,5,5,555
6462,1142984916495fad0d7693eee6007457,61,1,18.89,5,5,5,555
6493,1157498c98b4b3b15123153b0783900f,69,1,31.9,5,5,5,555
6497,1158e1b14f3ebe4c4bf224fbb9485df2,124,1,38.9,5,5,5,555
6499,115997dc7b4f2fd1dd86d121d3cf4609,85,1,16.99,5,5,5,555
6519,116a414505bdc6407434a0ed928a47ad,81,1,34.5,5,5,5,555
6548,118085aad226a83743ad0742382f2fea,97,1,32.9,5,5,5,555
6551,1182014e15085488488a16a15078d230,53,1,23.9,5,5,5,555
6556,118422d80d1e1fab2fb5cd1df5a8281b,81,1,29.9,5,5,5,555
6569,11898977321d3640884b161d1c2a1baa,114,1,24.99,5,5,5,555
6586,119725bec6861ddc5104cf752a096e14,68,1,29.99,5,5,5,555
6592,11999e013d7ed940ec19dfe9e06a3575,50,1,25.0,5,5,5,555
6593,119a09b54964ed6697e8e8b3937b6859,110,1,34.9,5,5,5,555
6595,119b719f1b5c337406af6f99bb135b78,71,1,14.9,5,5,5,555
6661,11c9730340dc403bf23bf523be47ed1d,120,1,27.99,5,5,5,555
6666,11ccdef696a84d0671c602467bb81e2a,124,1,24.99,5,5,5,555
6671,11ceac611dc7103469eb991bd453fee3,105,1,37.0,5,5,5,555
6824,1237b05644a9d15e9cd1a33c445b87fe,95,1,14.5,5,5,5,555
6826,123840a282dd67fa5c1e262750d2c9e7,102,1,39.0,5,5,5,555
6832,123b6048837fa953150255ef6a2efbb3,124,1,29.99,5,5,5,555
6885,12638fa4003c4213b65e5ebdb9560a6d,75,1,33.49,5,5,5,555
6902,126d965f905af0ac785cb558e7761687,99,1,35.0,5,5,5,555
6911,127220f5fd65f325977f3c96d2538ea7,74,1,26.68,5,5,5,555
6943,128c188f45804a1a93bcae455c0e4578,53,1,39.9,5,5,5,555
7008,12b71606e2ad874a8b0d87a44dc13d03,105,1,35.9,5,5,5,555
7030,12c7495c7caabfb836cfdacfb07f8ae8,83,1,29.9,5,5,5,555
7054,12d69fce7a250f435cf1a184a28e030c,87,1,17.75,5,5,5,555
7074,12e37c24d128347adec3c0ca35588abd,68,1,32.9,5,5,5,555
7097,12ef94446bb39eb7506941f858526d29,113,1,26.4,5,5,5,555
7139,1313ac78892aefb0a54731597ca260a2,56,1,35.6,5,5,5,555
7140,1313e73dd50aef9fc403df03401b498c,83,1,35.9,5,5,5,555
7144,131543adb30a089bacc9f8025d1d1a4c,105,1,29.9,5,5,5,555
7203,134c1eae2d05bfbd29cfa49fe67f7404,96,1,34.9,5,5,5,555
7212,13532365e3b2efec4b9ee9ae6a0bf360,85,1,37.8,5,5,5,555
7237,1364c861e8447e6a9fe336673843244c,84,1,32.99,5,5,5,555
7259,136e5f727307a6bed0a74338d7ee9a3f,50,1,24.9,5,5,5,555
7285,1379dcee952b1e41e65f13755f51e001,99,1,29.9,5,5,5,555
7314,138ebdbd7b3bbf93c029dce0dda3353f,80,1,31.78,5,5,5,555
7317,139221f20de9ea67cbcc20d1e1beec46,117,1,12.47,5,5,5,555
7333,139d5ffd92108182976063d0d8aca45c,70,1,20.9,5,5,5,555
7339,13a4684a5a46fcbafb42d8e30af15219,119,1,21.5,5,5,5,555
7342,13a570ece49733c3201ddb6d816bdea1,104,1,29.99,5,5,5,555
7377,13baff7a51d9e50f8208790bbde38b89,99,1,17.19,5,5,5,555
7386,13be671c358636700d14125a912ffb99,118,1,25.18,5,5,5,555
7409,13cf58797ee635bce7358bffda96073b,50,1,25.9,5,5,5,555
7413,13d270a62ccf028c0adf913af6be714f,112,1,26.9,5,5,5,555
7428,13db6d94faa6734d80cd12f22df84a56,129,1,38.9,5,5,5,555
7435,13df83363288f0864b3be4b0a8bd0527,57,1,24.9,5,5,5,555
7471,13f489935396f6b5311f29f6f5556d6e,50,1,19.99,5,5,5,555
7512,14148e8de854cb67d2c730d568af1ed2,109,1,30.9,5,5,5,555
7513,1414a515ad96f8644b1b207cb04929d1,48,1,24.0,5,5,5,555
7523,141bdfe99910207edd84c00700397580,110,1,18.0,5,5,5,555
7524,141c3b99aa115d4e6f5daf17fab78656,47,1,26.89,5,5,5,555
7535,142695f924c6f0229ac86a7bc6f31609,88,1,14.9,5,5,5,555
7573,1441e5e09ae697e64322b63d1909bd4c,85,1,34.49,5,5,5,555
7642,14690f3ebb623c4a7ee5c99c9476879a,57,1,36.9,5,5,5,555
7653,1472468d6d56167600d5b11dfc70f7b1,69,1,26.9,5,5,5,555
7656,1475ba146afcb53f12a49bb3e38fb444,70,2,20.0,5,5,5,555
7658,1476b48b91d142d3bdcc96b45ff65e43,78,1,29.9,5,5,5,555
7664,1479ff715a4d0d50f559fb434ffaac23,109,2,29.8,5,5,5,555
7674,147f69d3f50f2d2bc3797f20fe452ab2,81,1,19.3,5,5,5,555
7748,14b2a904e8bcb72a2bbdbcf5b8e54978,85,1,28.9,5,5,5,555
7753,14b526a649ab79cccc7b690557e748c3,123,1,35.9,5,5,5,555
7759,14b7f96ecbd43c2a3cc5a38c291acaf7,62,1,34.95,5,5,5,555
7767,14bfea91b8c15d200b1eaf45add92e3f,60,1,24.99,5,5,5,555
7849,14f75c00cf2b8fa72317a44b34a94e87,55,1,39.0,5,5,5,555
7857,14fd3eba514b49c33317f567ae94a1d7,77,1,24.99,5,5,5,555
7868,150617471c858a7f3e210e4b6aa5955f,69,1,14.99,5,5,5,555
7897,151b2c4a56aab1fa8f3c822cc000b287,98,1,37.9,5,5,5,555
7901,151de0760cbd861ecf7f1916416da894,119,2,30.9,5,5,5,555
7906,1520225ce891e1d6768c68b12052d208,54,1,8.5,5,5,5,555
7915,15240b74823a3c800622437091896fef,98,1,27.49,5,5,5,555
7931,153075720e8aca000c4524ca6ae5184d,60,1,22.9,5,5,5,555
7942,15397786b3c38d34b68114c1d4c012b4,130,1,27.9,5,5,5,555
7977,154e666b681104319714a99a3ab71e44,74,1,24.99,5,5,5,555
7992,15570f9541efe0202b897116ca6a4cf7,110,2,24.5,5,5,5,555
8026,1574a3dd0c2def0f975a579f1a906e3e,103,1,35.0,5,5,5,555
8041,1579af2301d214c58898416457287574,102,1,34.99,5,5,5,555
8061,1588d0ba7118a3b06dfde1e949bd7f80,98,1,30.99,5,5,5,555
8080,1593ca7390c815671208260c2e1a281e,82,1,12.0,5,5,5,555
8104,15a0eb41033a5b7267e6dc6bf86b0148,61,1,20.9,5,5,5,555
8125,15aee229d1d48b6a17dd0b8e2a3705e0,48,1,34.0,5,5,5,555
8126,15af4083ea818f480d16176ff0d903b2,104,1,19.99,5,5,5,555
8127,15af9668596b9358f3c13ece3af9aba1,124,1,34.99,5,5,5,555
8185,15d98045d8ed309eda8c6dd3f63d807c,112,1,35.0,5,5,5,555
8329,162e0d0e69e279de6dae202082e45c63,88,1,13.65,5,5,5,555
