,customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
165,0070e3e36dad141bed98c6dd5b3d1216,111,1,104.99,5,3,3,533
166,007182cdc3e8e2d3d4ce0b00b9004630,96,1,13.99,5,5,5,555
173,00785e4d6fd1ab53e7de20c730c070f1,112,1,110.32,5,2,2,522
174,0078867a1043bd408c6134cf5ca1bbf5,110,1,66.99,5,4,4,544
177,00791d8bb3acb245dc0b865656e18fff,50,2,89.9,5,3,3,533
180,007a444502902587d7aa72af38cbd1de,126,1,64.99,5,4,4,544
195,0086b541a59fa554e7953e2d3c285285,74,1,35.0,5,5,5,555
199,008943f202ed451804dfc1c23248eeb0,70,1,97.2,5,3,3,533
208,00914220fb44a373f667e19ed450e8df,69,1,79.99,5,3,3,533
213,0093eadfb5536c158311672bdf418044,99,1,119.0,5,2,2,522
217,00953228b409090c774d955f2ab881e5,48,1,110.32,5,2,2,522
218,009556b29007b7233895402fac956591,83,1,127.0,5,2,2,522
221,0097c5abeb126a90646370f4a1cf3d93,123,6,329.94,5,1,1,511
224,00993c1bdbff4f24ca6b8124b4cf5a1f,79,1,27.99,5,5,5,555
230,009c825b4f96c0c03731ac38b6e1c6ea,124,2,112.0,5,2,2,522
235,00a16acd591b4bb112f2e94c7d2f9936,117,1,28.99,5,5,5,555
246,00aa3aa0438ac8a9e8a9378171ccd055,56,1,19.9,5,5,5,555
248,00abf30c1a93c7c8b509cb80a22e4dd8,87,1,169.99,5,2,2,522
252,00af928c0a307dfdb37122943a1e6902,113,1,249.9,5,1,1,511
254,00b16eaf1e6b6bd4eeb54f97fc31f172,75,1,410.0,5,1,1,511
256,00b2b9682f5c2a1f7cf1312ce6a0ea9d,73,2,128.0,5,2,2,522
257,00b2fdba41164ba7de5052652fb86231,84,1,65.9,5,4,4,544
259,00b4054d851ec464f6fb745fab627439,130,1,385.0,5,1,1,511
266,00b7c3aa68e7f0e83117105ee4964a49,84,1,48.9,5,4,4,544
271,00ba72dac5dae2776b5bfcf799a956b2,61,1,25.0,5,5,5,555
274,00bad631eaa8723983a6c7e2f910dfca,57,1,89.9,5,3,3,533
279,00bd2f03a3aeb727b9c7bf7c2a1c094b,83,1,48.98,5,4,4,544
294,00c5b008c1465e327578fdacf185ccfa,124,1,67.99,5,4,4,544
295,00c634fb2feeb4e2767a916c2375c9b8,54,1,1299.65,5,1,1,511
303,00ca6e4277e535d41bda84d371310be2,111,3,189.07999999999998,5,1,1,511
314,00d59ed5b36bbeac2deb4e7256a39fb4,95,1,26.9,5,5,5,555
322,00daf19c19d0fa15a86284fa7293b5ac,119,1,132.0,5,2,2,522
331,00e4dd8d5ecaa00de8c6671679b58045,95,1,34.99,5,5,5,555
334,00e6ef8a68edd7a3d2221bcf18656b7e,102,1,16.0,5,5,5,555
349,00f394e6fc446865ac4097b6db69ef4a,69,5,199.5,5,1,1,511
364,00fb765118b6d3b18dfc763dc3729a5b,110,2,84.0,5,3,3,533
374,010714eb89c36dd92fee08385cc1dd6b,82,2,179.8,5,2,2,522
379,0108bac6b3f1f9f0fb88a1f0c0763919,56,1,64.9,5,4,4,544
383,010c5ccfc9a9135b8c89e2d66f5fb8f5,49,1,47.83,5,4,4,544
388,010ebb5ce5da9367a59959153f083968,78,1,24.99,5,5,5,555
389,010f3c6e21051748f72f762b9a7cb85d,119,1,79.9,5,3,3,533
395,01156d307fdee5870c27d63afb938bd9,95,1,34.9,5,5,5,555
400,0117fcfe90f5c0df487c5eb4ae067aff,66,1,80.56,5,3,3,533
402,01187871d33eda6ba14aea590bb50d0e,50,1,144.99,5,2,2,522
408,011caa1d64812e93260454d6e311f330,56,1,119.0,5,2,2,522
411,011f5f2d716eb919dd944494c0db328b,68,2,47.8,5,4,4,544
418,01214c5f31d06b6da030e5825b431446,53,1,45.0,5,4,4,544
430,0126e712caf48d6cf32ffbdce563d2c3,53,1,64.9,5,4,4,544
438,0129ed0b91663e92e982965f3a6245f6,77,2,85.8,5,3,3,533
443,0130b37ed963c4a595792582025bdcb0,97,1,39.9,5,5,5,555
450,0137aedb5fd652186dbf05e49d78db59,83,1,59.99,5,4,4,544
454,0138300525351148ae5c0bfe11efe43c,75,1,55.16,5,4,4,544
456,0138bea323fc76e6968c0fa28a35d9e8,104,1,58.9,5,4,4,544
470,0142bd3182ef8b08ecc4182dfd4ef811,84,1,169.9,5,2,2,522
479,0148eb6c4d23d56432bc3431ee6a5bee,117,1,42.9,5,4,4,544
484,014b7917072f3fe8c9ca37d4043c31d1,49,1,17.5,5,5,5,555
489,014f3e3c0e2ca31a15e844bdf3a25cfb,67,1,169.9,5,2,2,522
493,015041e1136a20f44f9cf4bbf29df823,82,1,173.9,5,2,2,522
495,01514a0b29d64250fc301b3413aa0ba3,78,2,70.0,5,3,3,533
517,015e106d9f62b30e48b97bac868b48e6,109,1,71.9,5,3,3,533
518,015f98a7155c15075a5f77a37a8205ed,98,1,45.0,5,4,4,544
523,01621ab81b760e6e48e8eb3a300c77bf,124,3,207.0,5,1,1,511
527,0163303a840691e9f9378d1e41f4849a,85,1,88.9,5,3,3,533
535,016890b20bac6cd8155fb02cd3ec3e44,102,2,399.9,5,1,1,511
541,016b9c55722fc080b0cbf76d663449af,48,1,99.9,5,3,3,533
543,016c5c3fb572754f302fdac24aa9cfa4,118,1,122.99,5,2,2,522
547,01709d66652d26124875777dda46cfac,80,1,78.0,5,3,3,533
555,01755c16c986d88fa552ba8d7da81876,71,1,19.99,5,5,5,555
559,0178cbf093400335e3d8fd88851e6bf1,61,1,35.99,5,5,5,555
562,017b60010b64f28dcc98161205bbf51e,61,1,96.8,5,3,3,533
569,018150959151a39894d01128bc358aed,48,1,1099.0,5,1,1,511
573,018447394d87c7921d8ee1fb40d91d90,47,1,29.99,5,5,5,555
578,01874b138de5f4447517558ca0d1a3b9,129,1,18.9,5,5,5,555
582,018a1c3096d2b2bf4a869cc213c03345,125,1,165.0,5,2,2,522
583,018b4fd25720e7fb0de00600f3aa0947,67,1,67.9,5,4,4,544
584,018bd804612e66267d4dc4ac8f8b98c1,61,1,250.0,5,1,1,511
588,018d3918d60c2e821b654b8eb4cfde55,127,1,989.0,5,1,1,511
593,019017e9f8b2c0e399f1f00e6e87f306,80,1,179.9,5,2,2,522
595,019200fa574c9eda0fbc82c71fcc8fbe,80,1,1899.0,5,1,1,511
601,01952039ba4abb6c459e7b6d62a69d7a,47,2,73.3,5,3,3,533
605,019689350fe9ec51d6d9fcd76119e2fa,112,1,44.99,5,4,4,544
609,0197df52c22d6ef0aa52ffb63ac80404,118,2,244.99,5,1,1,511
614,01998a22ca4b0c83aa13f2e8bec67c81,105,1,23.9,5,5,5,555
623,01a29eb8e6d484de55f3d2a9d6b7bcbe,82,1,14.0,5,5,5,555
628,01a51dab2737347e9b62bd2616a16d22,70,1,175.0,5,2,2,522
631,01a61e75bd333a349351fba370520597,48,1,230.0,5,1,1,511
632,01a62912967c457c51f60e42eba81aab,78,1,58.9,5,4,4,544
634,01a672f8689f3c466770ff1883deabe5,55,1,39.99,5,4,4,544
637,01a9e6a66ed15bb3c5b3d9abc2e046a4,62,1,79.9,5,3,3,533
641,01aed44f9b372a8b9a40201cf7c155a3,71,2,87.8,5,3,3,533
642,01aef689891025af290bbdc4788d87da,74,2,652.0,5,1,1,511
649,01b365dec7627509427c5503e029464f,71,1,39.9,5,5,5,555
651,01b4d8edfd68874d23092c8fcb6a4edb,113,1,17.9,5,5,5,555
655,01b8c0cf86a1a5e8653ccfddcf906862,78,2,96.0,5,3,3,533
665,01c3c12496a8c26348d92873da95448b,99,1,9.0,5,5,5,555
667,01c41ead4383471f6ef23bcf19aeb5c5,118,1,134.9,5,2,2,522
673,01c79f3ab2bd70b64e01c67a91843303,54,1,75.0,5,3,3,533
693,01d3b76b3d6604372075f8f2437b551f,68,1,125.9,5,2,2,522
698,01d581c1d75cd6e7a5315b20589b9944,49,1,12.99,5,5,5,555
701,01d7e86d9cc4c847baf866cf8f0d0536,81,1,155.32,5,2,2,522
704,01daed34d823dc01dde342ce1bf38fa3,97,1,70.9,5,3,3,533
709,01e16f5204e8741494af3d5b4c355128,105,1,83.99,5,3,3,533
713,01e466f5fd2937b4ea4a18eb9963f9ea,48,1,146.0,5,2,2,522
720,01ea69b195809e2a8a932de44d8c0f73,57,2,99.8,5,3,3,533
728,01ef9a979bab9ba62386d5abfb646cfc,103,1,29.99,5,5,5,555
734,01f4581bf20e14d770c5de782d7ee783,60,1,61.4,5,4,4,544
735,01f57b226a3850a260e40698c2bd2fd6,102,1,390.0,5,1,1,511
739,01f73b778c4f92ec0b55fa90e306d82b,69,1,59.99,5,4,4,544
742,01f7f5d4ffa43c8b8d2ae6c7628b0aba,74,1,35.0,5,5,5,555
744,01f841d4c59e8b7634174ef72a75f81a,82,1,15.99,5,5,5,555
748,01fa120273bf003fb142073c53b27e86,69,1,179.9,5,2,2,522
750,01fa535b377b96fe00287149f6f01441,118,1,99.0,5,3,3,533
756,01fba1cb73bbc4533bde8318035fa9e7,97,1,72.0,5,3,3,533
762,02035a6c43039fa299e0492df023bad2,62,1,48.9,5,4,4,544
770,0205715514ce31607e0438aa7421f189,99,2,70.0,5,3,3,533
771,02060b47874e560f104dad93ae22e6f1,75,1,539.9,5,1,1,511
774,020781297fe6482b10c41bd7a105d508,50,1,90.0,5,3,3,533
777,0208fd622f545ae73dd1fc6a1a500ba0,105,1,210.99,5,1,1,511
779,020b0645ceac44c1ae2de1ed2bc02b54,125,1,24.99,5,5,5,555
784,020c87503e1eeb262f17c9e7c0b556b5,53,1,554.9,5,1,1,511
786,020e0c200a053638412950ba455d5b37,98,1,379.9,5,1,1,511
789,020fff139f1af3a6dff28456f386fe2d,63,1,39.49,5,5,5,555
796,021633f35ba9c0e00fce2f9a31281c71,96,1,49.0,5,4,4,544
799,02181664d4e1d58da55ec4e8e1185eda,123,1,569.0,5,1,1,511
813,0221ef5387bbb856f1b319d942fd15bc,124,1,39.9,5,5,5,555
818,0223b85b1e7ae199e2336d4f8da036b1,104,1,35.0,5,5,5,555
824,0226546cc4bbdda9dea563ff7138700e,53,1,67.0,5,4,4,544
827,02277211c9842fee492b8e37a17cf0ff,105,1,119.0,5,2,2,522
830,02292531f73bf941ef5b09341e195e37,62,1,79.9,5,3,3,533
840,022d8582868c8ee0a200885b357c4208,126,1,269.9,5,1,1,511
841,022d8f488c8a3f6e686848f2b2cfc54d,56,1,179.99,5,1,1,511
848,02307143f7dce7b43056056566b8e987,55,2,200.0,5,1,1,511
851,023340b4cc63d20a56d1afa725970627,71,1,189.0,5,1,1,511
857,0238124998cd8eddd5b3ea04d4c1e658,62,1,48.5,5,4,4,544
867,0240a546849fb56346f3f602aac8e04c,127,1,123.0,5,2,2,522
879,02469bb79cf0096970abae40244a4c6f,48,1,59.99,5,4,4,544
886,024aee4bf3ee8fc406d58b5c47e18578,118,1,250.0,5,1,1,511
887,024d9375532751f84d5bb83ac936b3f8,106,1,119.0,5,2,2,522
891,02502a29041f75b4982896ed8ca6e736,116,1,22.49,5,5,5,555
892,025247dee36960e70666880b8073e582,120,1,14.89,5,5,5,555
893,0253a59a3f1b966f4ef92ee44336e585,71,1,139.0,5,2,2,522
903,0259f74450d401ec64f87ad25aeab874,78,1,50.0,5,4,4,544
904,025a13782125f9ee98dd321dc97e23ee,67,1,35.0,5,5,5,555
906,025c2b263a9a9247f855c0c777aabe33,77,1,249.99,5,1,1,511
914,02611d7a9e40004ce72c2006dca2d7a9,95,1,27.9,5,5,5,555
921,0264bbda6bd6492c79a5843f7c2e1eb4,68,1,65.0,5,4,4,544
922,0264f4e581481a3f01d4f341d38a46ed,78,1,21.99,5,5,5,555
929,026ae2477af95b832998d23578eb4336,88,1,138.98,5,2,2,522
930,026b1c08479645291d284443a15d8c93,62,1,100.0,5,3,3,533
931,026bfde40abfbefc0a23ce6856a9b3f3,96,1,45.0,5,4,4,544
937,027173ae64ea4eb32139b3205e7e02c0,64,1,27.9,5,5,5,555
940,0273345e320539cc7bf1f6469b2fa34d,72,1,86.0,5,3,3,533
943,0273ad500c7050a14ee1d5a79d558605,54,1,91.0,5,3,3,533
946,0275161cf1fc69fd8f5412ba423a3004,58,1,26.9,5,5,5,555
950,027711a554ce14c4bebd4af3bb803101,122,1,13.62,5,5,5,555
958,027ae9ecc616da8c33d137a1d7e40f0a,50,1,185.0,5,1,1,511
961,027e8c3fbdb7694e9b0824865a13388f,95,1,159.9,5,2,2,522
964,027f4567829d2f2249e5adeb315bdda4,70,2,129.98,5,2,2,522
966,027f4d228b15f41c385c367b137f425e,57,1,109.9,5,3,3,533
968,0280ead6134bfe639866306f1f0258ab,127,1,66.71,5,4,4,544
971,02841fd8efadbaf1b2e99e29822ed8e2,120,1,149.99,5,2,2,522
972,028514f8be6e8c2adb9d0b4647ef3a39,50,1,148.0,5,2,2,522
984,028ec50772515edd2a7c7e6f212cc27f,63,1,49.9,5,4,4,544
992,0295853908b4ba8c84a8e8b550eef3a1,61,1,190.32,5,1,1,511
994,0297b96a2290b2d419ac0b0cea83b5eb,130,1,265.0,5,1,1,511
995,0297d4246fd48c7ed31b81c7f99776eb,84,2,110.0,5,2,2,522
1004,029be5fce165c111d15eb737d28d44b8,84,1,110.32,5,2,2,522
1005,029c1bebebe4314d00b4ebc26fb09225,127,1,40.0,5,4,4,544
1012,02a0087b3657817949973dc48134dece,63,1,97.5,5,3,3,533
1014,02a0454551d656a33ab2526c52216dc5,119,1,27.5,5,5,5,555
1028,02ae654741ad895368bd9ffc371893e5,47,2,61.8,5,4,4,544
1029,02ae7918f75386935260f02cbf60d7f7,119,1,119.9,5,2,2,522
1034,02b168b03c95daba8c837ac1d2f85670,115,1,68.0,5,4,4,544
1039,02b5dc176731821cbf299ba7ac64053c,97,1,34.5,5,5,5,555
1043,02b81e78d15d013c5de9a2e89ceddb0b,60,1,140.0,5,2,2,522
1044,02b83a1a2a215c7f7629c8fe41a7cad5,64,1,89.9,5,3,3,533
1047,02bb19e4d66682ddf2b4ec648db0cd48,78,1,33.9,5,5,5,555
1048,02bcb5c3c7be18d730eb163301b658d3,68,1,81.0,5,3,3,533
1050,02bd740a9c42959b61e38d5a07d43522,61,1,244.99,5,1,1,511
1053,02bf19efae533d95c21b5e1ccc633a88,124,2,219.89000000000001,5,1,1,511
1058,02c14c4a48266b1cbb810a491954e97d,120,1,40.5,5,4,4,544
1059,02c1e8e3240934520c94905a9b6c004c,112,1,27.9,5,5,5,555
1081,02d22b2dd08fd5b4bb3ebac28f73d68c,74,1,74.0,5,3,3,533
1088,02d683623fe8a7afb049181a823afefa,126,1,14.99,5,5,5,555
1114,02e5b5ecce34b118017c55151accfbe5,70,1,24.99,5,5,5,555
1125,02edb3a95305c7b4e3d0e666744b1fb9,113,1,349.0,5,1,1,511
1128,02f0bc4b5ee293031637b7e8d75a5484,128,1,299.0,5,1,1,511
1134,02f5837ff2d19277d066df76e27a8cca,126,2,28.98,5,5,5,555
1138,02f6d24b58d8286f9e56fe9edafe719b,68,1,79.0,5,3,3,533
1139,02f818e19134685bb0b3114b4667868a,105,1,59.9,5,4,4,544
1145,02fa7cd4dbbaf1b6794f6f78b0918985,62,1,49.9,5,4,4,544
1147,02faaf661d80bd26b06ca44de75a20c5,60,1,69.9,5,3,3,533
1153,0300ae7800b82af58b1f3526991cd98d,109,1,189.0,5,1,1,511
1154,0300bfbf1ddf99a37c01bd52639e40d6,85,1,117.0,5,2,2,522
1156,03021263578e74c1f2bd92697a37d93b,102,1,29.0,5,5,5,555
1164,0306f447354ba6e1012ce4350cb1d8da,49,1,28.9,5,5,5,555
1165,03071a983e944c48990031952443e211,109,3,258.70000000000005,5,1,1,511
1168,0308cb020fb67d56a42bf1296f77dfce,61,1,119.99,5,2,2,522
1171,0309c4c2a68262c8f4aa04bbfd9c630c,76,1,59.0,5,4,4,544
1172,030a8fd680eb0fa004cc42fd460da993,101,1,135.9,5,2,2,522
1181,030eae1d849c53479e79ecf5429ac4b0,58,1,68.5,5,4,4,544
1187,0310b25c98b10f9c6d22b9009455df37,68,1,142.0,5,2,2,522
1194,0315566ca17f35abbf61d58f3ea8b8bd,78,1,39.12,5,5,5,555
1212,0320b57550ef2aea72c685cc12c09ecd,124,1,45.9,5,4,4,544
1213,03211613a76a509bd371fd677974d68e,88,1,249.9,5,1,1,511
1215,0322f341d1346fa8ce5c28ef835f2f67,69,1,89.0,5,3,3,533
1217,0323b1ce5e0352a4c843df59359a133e,77,1,232.75,5,1,1,511
1221,03261691b84979dde436e5752ebb28c7,116,1,69.9,5,3,3,533
1228,032dc4140d9a51a0febc693a96a44489,98,1,79.0,5,3,3,533
1229,032dcdab0638781f8a5f9d8da7f9fc1c,77,1,50.0,5,4,4,544
1232,032ecf6afa4af219d338d03dd4f80f65,112,1,110.32,5,2,2,522
1235,032f5eb3f82038a0490fd6870bf131dd,100,1,76.9,5,3,3,533
1243,0332d8ec6d259a1caeda045188ffe70f,98,2,499.8,5,1,1,511
1253,033854c6af774f85df06de2c9399589d,118,1,28.8,5,5,5,555
1255,0338cedf9fd370fe655047aaa0725078,126,3,390.0,5,1,1,511
1261,033c981e2b34fee357d40d07c83a1cec,75,1,30.4,5,5,5,555
1265,033fab69968b0d69099d64423831a236,0,1,26.4,5,5,5,555
1267,0340a58f4c5575ef03a6083a95c01166,62,1,29.99,5,5,5,555
1268,034114dc2bf3002b8d1bad87a64e0ade,95,1,25.89,5,5,5,555
1275,0345751ae47b77dda48d7a9f6e5f5946,52,1,119.0,5,2,2,522
1277,0346ede17045f279840b35cecd360d14,49,1,79.99,5,3,3,533
1288,034dbf527c403a97312d2d20abb0d0d3,60,1,149.98,5,2,2,522
1289,034dc20625271d7092e8228d1a80cac4,76,1,19.99,5,5,5,555
1292,034fd942a2424b8665d157a4ef2e7fca,105,1,49.9,5,4,4,544
1297,0351f415e46d182dbb19fe7c7717d52f,108,1,950.0,5,1,1,511
1300,0353a6805a33d54bc0910b25653e9981,49,1,67.9,5,4,4,544
1305,03561aef46e7dc993d752d9edf39d31c,83,1,45.0,5,4,4,544
1308,03584c130fc11548a1d7b9cf617b95f8,84,1,209.0,5,1,1,511
1313,035aed905c76a63603e6ed5d1d21ae65,123,1,135.0,5,2,2,522
1316,035d022d08cfd373cd52040fc4485e78,75,3,59.699999999999996,5,4,4,544
1318,035ec305e97c979078a8d68778f25905,75,1,249.99,5,1,1,511
1329,0368541bf462ab4f227778b73f427c2d,60,1,24.9,5,5,5,555
1330,036a059499bb4fda443ab493f192ebe1,125,1,66.99,5,4,4,544
1332,036a2b2e7d16c12b97890ea51a2ef172,77,3,189.49,5,1,1,511
1333,036a5ec4de2e7e95d1bac6ba6cf5b327,102,1,43.0,5,4,4,544
1358,038043a62bca294b36eefac078e69729,124,1,48.9,5,4,4,544
1360,0381ec58ea2fa26fb596e5d1af0e270d,111,1,27.9,5,5,5,555
1361,038302481fecf4b95852065a483b8d95,50,2,198.0,5,1,1,511
1362,0383cb4f0f80f571863a2542410f51e0,129,1,129.9,5,2,2,522
1382,038db9153b201fb438201488dfdd1bd3,109,1,99.99,5,3,3,533
1393,0396cb45bf62655a5a16b9c8f306d12e,69,1,129.49,5,2,2,522
1402,039c5d6f330c73420f1658e63f67f0ff,69,1,22.35,5,5,5,555
1404,039e247f51f48db99559485f01600562,64,1,28.99,5,5,5,555
1406,039eebca4d46be9067692e9611a7207a,50,1,99.0,5,3,3,533
1408,03a2a04722a38803d8c29c7339998d54,81,3,780.0,5,1,1,511
1410,03a3fed0e96dca44d3d9614a4c83103a,123,2,299.8,5,1,1,511
1413,03a5dc88300acdc63c40c0fcb54799ec,49,1,44.9,5,4,4,544
1415,03a6ba2837612c689cd65be392b84084,104,1,129.9,5,2,2,522
1416,03a7750fc7a7bfbd7a84b2f4f26b92f1,113,1,139.99,5,2,2,522
1425,03b243d7ac6a467982044dd9dddb4d68,83,2,1129.8,5,1,1,511
1434,03b5e9c6d19a9bcc8015ec2660ae1936,109,1,179.9,5,2,2,522
1435,03b5f0e2f1c1973f3320bb65f511d2cb,113,1,125.0,5,2,2,522
1444,03be246c6a30b0be83a6de87cc6afdf3,75,1,39.99,5,4,4,544
1445,03bf8050d93c13d75b4e5f2bcb6f41f9,96,1,139.0,5,2,2,522
1459,03c75f8dfffde486ab30360f6e689a4f,57,2,239.98,5,1,1,511
1465,03cc0d8c8f25cd1e7134599ffadc585c,88,1,58.0,5,4,4,544
1469,03cd1b42e5ca372a1a7ac4d5b927b888,53,1,79.0,5,3,3,533
1475,03d01c3308507d5d861af0d89b65beee,125,1,33.0,5,5,5,555
1485,03d88c22a063771d871d7ad4fc182cc8,95,1,120.0,5,2,2,522
1494,03dfdec9ed6605bb41453c46fac2f2b1,64,1,149.0,5,2,2,522
1503,03e4aa263433c6741b5d22e28272c520,48,1,29.99,5,5,5,555
1507,03e7a78ad85e305f9989298d3396f7ca,64,1,59.9,5,4,4,544
1512,03ec2e284072ed26c76280702832ed56,120,2,37.0,5,5,5,555
1517,03f21d23b93b0baba743e57d5ad14604,112,1,34.99,5,5,5,555
1520,03f2fce950d12e18b97760794a8d8994,87,1,95.9,5,3,3,533
1526,03fcc171d06123c951b373d1bf113748,63,1,109.9,5,3,3,533
1531,0400b2f1a68d9a8cae29fe11727ceebe,81,1,107.5,5,3,3,533
1535,04065ecc8bc4cfd1228121cd5426e8db,72,1,129.9,5,2,2,522
1536,0407c0b9473b07847c99aee965048870,47,1,69.99,5,3,3,533
1543,040d25956c9d082b572f1482b34630ce,50,1,79.99,5,3,3,533
1548,0411ba9ee6c7697c60b2e05345557958,34,1,89.9,5,3,3,533
1554,0415764d7efe50fff280fafa9777b327,125,1,125.0,5,2,2,522
1570,041d5700e430ed7d2f3ca2d7e781f077,130,1,14.49,5,5,5,555
1572,041e732946d597aa439b595a2def33f3,123,1,189.9,5,1,1,511
1576,04211982f170cac46abffab95d63bc7f,71,1,24.9,5,5,5,555
1577,04216e3374a4ddb59314b1f5fc9cc410,130,1,74.48,5,3,3,533
1578,042193d276acb3484499d9cf145ef90c,110,1,140.0,5,2,2,522
1596,042e5efb06ce782f900f6585a4671cbf,67,1,99.0,5,3,3,533
1601,0431efe603d40ebbd845a573ba0e25bb,109,1,44.9,5,4,4,544
1614,04370b820ba7c7a238a5862e04bea0f3,50,1,259.0,5,1,1,511
1622,043c9f38c68b4ec1c37c6145a2aa6257,53,1,10.0,5,5,5,555
1625,043dbb0e26536d1faa2c5286b3dfa926,68,1,149.65,5,2,2,522
1626,043dcc3db797a03b132fb63e753c309c,64,1,29.9,5,5,5,555
1628,043e3254e68daf7256bda1c9c03c2286,98,1,210.0,5,1,1,511
1632,04411d029ba983c1386fc99accec7c63,117,2,185.0,5,1,1,511
1639,0447df4fd1c1f9c602bf25ae24c494f0,82,1,35.0,5,5,5,555
1642,0449d1b1afc5212a6805aa3b6d84e049,70,1,44.9,5,4,4,544
1669,045e763e2096b07525b1908bb365a0c6,110,1,59.9,5,4,4,544
1676,04638865a9aa6944aecf3b6c2170ab7b,120,1,59.9,5,4,4,544
1690,046f890135acc703faff4c1fc0c2d73c,111,2,7.7,5,5,5,555
1695,0471cc0884591a4029e0c0508511cee4,88,1,58.99,5,4,4,544
1702,04750bd159f6ee54d7ad858b8887128f,74,1,42.0,5,4,4,544
1710,047965eae6564b51ea05b945966ec595,54,2,377.8,5,1,1,511
1714,047bf05a26a10d5fd5f98a37b5ad1848,118,1,79.99,5,3,3,533
1718,04802886a43fe74bd00496abf197b3a6,78,1,14.99,5,5,5,555
1724,04861ff600ae6fcb9356b57355ed641c,60,1,179.0,5,2,2,522
1738,0492fbcccc19cfdea66d667173ebce63,57,1,20.49,5,5,5,555
1742,0495900bb9a59da4d1b972ff829fb60d,83,1,49.9,5,4,4,544
1748,049a364f58c2436196be4378cf9b2ff0,56,1,220.0,5,1,1,511
1755,049e1221c498aac9230d750151d75706,63,1,260.0,5,1,1,511
1760,04a0f320323673ed32272d2ee4d5cf39,130,1,99.9,5,3,3,533
1761,04a1baab9cbc43e54f00c5c243a4366a,48,1,59.0,5,4,4,544
1764,04a2fa019514345f6bcc37c892208336,124,1,208.0,5,1,1,511
1770,04a80904d68808014ce304276a945dc2,110,1,70.14,5,3,3,533
1771,04a8bd329a1b13af8d394f37c6214ab8,77,1,38.0,5,5,5,555
1786,04b48387bf71a20a7b51d540080e50f2,85,1,122.99,5,2,2,522
1794,04bb4cf0fe0618ca7a2abb353f333fb5,78,1,85.99,5,3,3,533
1803,04c29d61a03932febec8dbc323b339da,75,1,83.9,5,3,3,533
1816,04c7bc4cc351fcdcf95e0beea777088f,130,1,43.99,5,4,4,544
1819,04c834ed53ed3ebdf68fa561bdc20e5e,57,1,219.9,5,1,1,511
1828,04cb9ac4f7e8601eca04db769d91d5aa,104,1,115.0,5,2,2,522
1833,04cef6b920c0d8f16702cab269b59044,120,1,329.9,5,1,1,511
1838,04d0ea09064b28a174ede28c73af8a75,71,1,295.22,5,1,1,511
1847,04d5e61e7fce0006c484f168e0b7bfdc,118,1,149.0,5,2,2,522
1856,04db714126e894b75fbfb664a136a497,53,1,85.0,5,3,3,533
1859,04dda5c8deb02a801e2f7da84881cedf,96,1,49.9,5,4,4,544
1862,04e0f25cc5098641d43654cbb7e73f6b,106,1,49.9,5,4,4,544
